Inspection Date,Zip,Failed
2019-06-13,60647,1
2024-09-12,60639,0
2024-09-12,60637,0
2024-09-12,60654,0
2024-09-12,60616,0
2019-06-14,60657,0
2019-06-17,60644,1
2019-06-17,60632,0
2019-06-17,60602,0
2019-06-17,60629,0
2019-06-17,60625,0
2019-06-17,60642,1
2024-09-12,60620,1
2024-09-12,60630,0
2024-09-12,60630,0
2024-09-12,60630,0
2024-09-12,60623,0
2019-06-18,60622,0
2019-06-20,60653,0
2019-06-20,60666,0
2019-06-20,60639,1
2024-09-12,60610,0
2019-06-20,60659,0
2019-06-21,60629,0
2019-06-24,60647,1
2019-06-25,60625,0
2019-06-25,60657,0
2024-09-12,60607,0
2019-06-25,60647,1
2019-06-26,60622,1
2019-06-26,60654,0
2019-06-26,60653,0
2019-06-27,60649,1
2019-06-27,60666,0
2019-06-28,60625,1
2019-06-28,60659,0
2019-07-01,60631,1
2019-07-01,60625,0
2019-07-01,60661,0
2019-07-02,60660,0
2024-09-12,60513,0
2024-09-12,60607,0
2024-09-12,60666,0
2019-07-02,60622,1
2019-07-05,60659,0
2019-07-08,60657,0
2019-07-08,60622,0
2019-07-11,60609,1
2019-07-11,60660,1
2019-07-15,60620,0
2019-07-15,60623,1
2019-07-16,60622,0
2019-07-16,60616,0
2024-09-12,60647,0
2024-09-12,60628,0
2019-07-17,60633,1
2019-07-17,60639,1
2019-07-18,60621,0
2019-07-18,60657,1
2019-07-19,60640,0
2019-07-19,60666,0
2019-07-22,60623,1
2019-07-22,60616,0
2019-07-22,60647,0
2019-07-23,60625,0
2019-07-24,60639,0
2024-09-11,60608,0
2019-07-29,60647,0
2019-07-30,60614,0
2024-09-11,60628,0
2024-09-11,60643,0
2019-08-01,60616,0
2019-08-02,60629,1
2019-08-02,60613,0
2019-08-02,60633,0
2019-08-06,60614,0
2024-09-11,60630,1
2024-09-11,60638,0
2019-08-07,60608,0
2019-08-07,60622,1
2019-08-07,60611,0
2024-09-11,60640,0
2024-09-11,60603,0
2019-08-09,60632,1
2019-08-09,60631,0
2024-09-11,60634,0
2024-09-10,60630,0
2019-08-09,60649,1
2019-08-12,60611,1
2019-08-12,60631,0
2019-08-12,60659,0
2024-09-10,60601,0
2024-09-10,60634,0
2019-08-13,60622,0
2019-08-15,60640,0
2019-08-15,60647,0
2024-09-10,60653,0
2024-09-10,60647,0
2019-08-16,60612,0
2019-08-19,60622,0
2019-08-22,60617,1
2024-09-10,60660,0
2019-08-23,60604,1
2019-08-27,60626,0
2024-09-10,60610,0
2024-09-10,60610,0
2019-08-27,60605,1
2019-08-29,60647,0
2019-08-29,60605,1
2024-09-09,60607,0
2019-09-06,60620,0
2019-09-06,60605,1
2024-09-09,60608,0
2024-09-09,60654,0
2024-09-09,60634,0
2024-09-09,60645,0
2024-09-09,60613,0
2019-09-18,60640,1
2024-09-09,60625,0
2024-09-09,60642,0
2019-09-23,60618,1
2019-09-24,60621,1
2024-09-09,60608,0
2024-09-09,60645,0
2024-09-09,60660,1
2024-09-09,60606,0
2024-09-09,60642,0
2024-09-09,60606,0
2019-10-10,60611,0
2024-09-09,60629,0
2019-10-25,60620,0
2019-10-28,60611,0
2024-09-06,60618,0
2019-10-28,60620,0
2019-11-07,60613,0
2024-09-06,60649,0
2019-11-19,60626,1
2019-11-19,60611,1
2024-09-06,60621,0
2019-11-22,60652,1
2024-09-06,60628,0
2019-12-02,60609,0
2019-12-02,60619,0
2019-12-03,60647,0
2024-09-06,60632,0
2019-12-04,60652,0
2019-12-06,60608,0
2019-12-09,60640,0
2019-12-09,60659,0
2019-12-11,60647,0
2024-09-05,60629,0
2019-12-16,60652,0
2024-09-05,60618,0
2024-09-05,60620,0
2024-09-05,60611,0
2024-09-05,60653,0
2024-09-05,60640,0
2024-09-05,60602,0
2019-12-27,60605,1
2020-01-09,60657,1
2024-09-05,60610,0
2024-09-05,60610,0
2020-01-10,60649,1
2020-01-13,60625,1
2020-01-10,60610,1
2020-01-14,60644,0
2020-01-14,60657,0
2020-01-16,60618,1
2024-09-05,60654,0
2024-09-05,60654,0
2024-09-05,60607,0
2024-09-04,60640,0
2020-01-27,60615,1
2020-01-27,60620,1
2020-01-27,60618,0
2020-01-28,60639,1
2020-01-28,60644,1
2020-01-30,60659,0
2020-01-30,60614,1
2020-01-30,60641,0
2020-01-30,60626,1
2020-01-30,60610,0
2020-01-31,60647,1
2020-02-04,60615,0
2020-02-04,60651,1
2024-09-04,60625,0
2020-02-04,60656,1
2020-02-05,60623,1
2020-02-05,60625,0
2020-02-05,60659,1
2024-09-04,60632,0
2020-02-05,60630,1
2020-02-06,60621,1
2020-02-06,60620,0
2020-02-06,60618,0
2024-09-04,60610,0
2024-09-04,60643,0
2020-02-06,60605,0
2020-02-07,60620,1
2020-02-10,60644,0
2020-02-10,60608,1
2024-09-04,60629,0
2020-02-10,60643,1
2020-02-10,60644,0
2020-02-11,60613,0
2020-02-18,60647,0
2020-02-18,60656,0
2020-02-18,60601,0
2020-02-20,60614,0
2020-02-20,60601,0
2020-02-20,60652,1
2020-02-21,60660,0
2020-02-21,60644,0
2020-02-21,60613,1
2020-02-21,60649,1
2024-09-04,60636,0
2024-09-04,60610,0
2020-02-24,60707,0
2020-02-24,60620,1
2020-02-24,60660,1
2020-02-24,60620,1
2024-09-03,60607,1
2020-02-24,60618,0
2020-02-25,60620,0
2020-02-26,60618,1
2020-02-27,60621,0
2024-09-03,60623,0
2024-09-03,60625,0
2024-09-03,60640,1
2020-02-28,60626,0
2020-03-03,60610,0
2020-03-03,60619,1
2020-03-03,60656,1
2020-03-04,60615,0
2020-03-04,60604,0
2020-03-06,60625,1
2020-03-06,60620,1
2020-03-06,60666,0
2020-03-06,60613,1
2024-09-03,60660,1
2024-09-03,60651,0
2024-09-03,60603,0
2020-03-06,60618,1
2020-03-10,60625,1
2020-03-10,60615,0
2020-03-10,60644,0
2024-09-03,60647,1
2024-09-03,60634,0
2020-03-10,60621,1
2020-03-11,60639,0
